capability,new_owner,evidence,status
actual Mesh/Light output,SceneSession resources + EditorRenderer,gpu-base/no_mesh/dim/empty/alternate logs and image readbacks,PASS_INTERMEDIATE
independent camera,SceneView camera + SceneViewport input,"gpu-ex02-03-multiple_lifecycle.log and gpu-55-multiple_lifecycle.log: primary checksum stable across secondary resize/close; both actual targets, zero validation errors",PASS_INTERMEDIATE
selection and Inspector,SceneSession selection + SceneInspector,gui-01.log/gui-02.log; ctest SceneSession generation reuse,PASS_INTERMEDIATE
all supported field kinds,generated ComponentReadBinding and ScenePropertyDisplay,consumer-editor-scene-readers-test-02.log,PASS_INTERMEDIATE
filter/Flat/hierarchy,SceneOutliner,gui-02.log plus local cycle/depth handling,PARTIAL
hide/restore/resize/minimize,concrete Panes + EditorWindow + RenderView,gui-01/02.log,PARTIAL_LATE_ACK_POOL_MATRIX
resource retry,SceneSession/SceneResources,gpu-retry-01.log,PASS_INTERMEDIATE
late source/entity/close,ResourceTasks with owned completion state,gpu-late_entity-02/gpu-late_source-05/gpu-late_close-02.log,PASS_INTERMEDIATE
local and menu Undo,HistoryActions / HistoryMenuActions / EditorWindow,ctest-08.log; real Text/Record and InputText,PASS_INTERMEDIATE
explicit orderly close,each actual owner; Application coordinates,app-paced-01.log and gpu-record_failure-05.log,PARTIAL_FULL_FAILURE_MATRIX
tooling capability,legacy Toolset; migration to application/tooling pending,source audit,NOT_MIGRATED
