id,category,operation,source_anchor,disposition,evidence,condition_and_limit
O01,DIRECT,syncStepSlot 每次计算 typeId,CppStatic/ScriptSyncStepCall.hpp:15-20,强制 constexpr typeId；每个T编译一次；消除7字节FNV循环,typed-slot.txt,正常P4每轮1次；静态输入，不改错误合同
O02,DIRECT,await_suspend 每次计算 expected_type,CppStatic/ScriptCoroutine.hpp:482-491,constexpr Result TypeId；继续每次写入实际等待所需期望类型,awaiter-*.txt,不能把不同类型的连续等待强行共用一份动态期望状态
O03,COLD_BINDING,C++ ordinal/参数数量/type/kind/size/alignment/pass,CppStatic/CppStaticScriptBridge.cpp:19-56,为C++调用点生成或声明typed步骤import；冷期绑定Lua步骤后使用私有resolved入口,cpp-invoke-full.txt,当前Contract没有sync-step imports；现有任意ordinal接口仍需checked边界；P4参数对齐执行1次divq
O04,COLD_BINDING,Lua入口重复ABI数量/类型/对齐验证,Lua/LuaScriptBackend.cpp:1876-1900,与上游已验证内部入口合并；通用/外部入口仍检查实际packet,9-1-LuaScriptBackend.cpp.obj.asm.txt,P4另1次divq；不提供public skip_validation
O05,COLD_BINDING,24B值槽+40B调用frame+16B Passes span的构造/元数据复制与清零,CppStatic/ScriptSyncStepCall.hpp:38-66,冷期保存描述；热调用仅传实际值/地址和当前借用；不在可重入路径共用可写frame,long-resume-complete.txt;typed-slot.txt,结构字段合计80B，非CPU耗时或heap分配数；与O03/O04收益重叠
O06,DIRECT,成功expected再转换为12B错误结构(status0)再检查,benchmark/Tasks.hpp:12-17;CppStatic/ScriptSyncStepCall.hpp,成功返回最小状态；失败时再组成ordinal/category/status；保留显式fail及错误优先级,long-resume-complete.txt:0x11b-0x16f,并非删除业务错误；public expected可继续在最外层提供
O07,COLD_BINDING,void调用仍带80B通用request及输出存储/返回类型分支,"Lua/LuaScriptBackend.cpp:1820-1828,1876-1916",按冷期结果形状准备void/scalar适配；void不携带未读output，scalar输出后置发布,Lua invokeSyncStep machine excerpt,P4返回void；非void仍需要结果暂存和实际Lua值检查
O08,COLD_BINDING,运行时参数循环、kind switch、entity_scope与return_count选择,"Lua/LuaScriptBackend.cpp:1504-1547,1832-1873",冷期选定builtin scalar推送/读取操作和scope形状；typed展开有序参数,executeSyncStep excerpt,保留int32→Lua Number既有表示；不得预读后续custom字段
O09,REUSE,Cpp和Lua各capture一次调用资格,CppStatic/CppStaticScriptBridge.cpp:47-50;Lua/LuaScriptBackend.cpp:1895-1901,传递同一原始只读调用借用；保留完整身份、epoch、category,P4-VTUNE-FOLLOWUP;cpp-invoke-full.txt,不能传bool ACTIVE跨用户代码；不能将已绑定失效视为standalone
O10,REUSE,两层入口/返回上连续重复valid,"CppStatic/CppStaticScriptBridge.cpp:50-54;Lua/LuaScriptBackend.cpp:1900,1913",同一无回调区间检查一次；合并相邻返回检查，保留原始错误状态优先级,source + followup top-down,普通成功路径静态5次valid；不能笼统全部删成两次，栈扩容和converter仍可能使原资格失效
