id,priority,category,confidence,location,finding,evidence,candidate_action,limits
F01,P1,correctness,runtime_reproduced,LuaScriptBackend.cpp:1769,invokePreparedSync conversion-before-execution,lua-sync-converter-retire.log,old qualification check after reentrant input conversion,no production fix
F02,P2,correctness,runtime_reproduced,ScriptTimers.cpp:77,double rounded int64 limit then cast,timer-overflow.log,guard exclusive representable bound before cast,realSeconds only source reviewed
F03,P2,correctness_cleanup,source_and_assembly,ScriptRuntime.hpp:169,inline resize self memcpy,machine-code-excerpts.asm,copy spill-to-inline only,not proven frequent in current workload
F04,P2,dead_code,whole_production_symbol_search,ScriptExecution.hpp:120,resume_enqueued write-only; unused awaitableId and readAbilityArgument,symbol-usage.txt,remove unused private state and functions,sizeof decrease not promised
F05,P2,performance,source_and_assembly,BoundedClassStorage.hpp:59,Ticket to Allocation repeats checked release,machine-code-excerpts.asm,single private resolved release,keep generation owner active and external payload checks
F06,P2,performance,source_layout_existing_profile,ScriptExecution.hpp:618,result movement/clearing and 32-byte optional copies,layout-excerpts.txt,reduce intermediate objects in no-user-code regions,release wait before backend resume
F07,P2,performance,source,NativeScriptBackend.cpp:470,repeat prepared step shape validation,../../../script-native-lua-na1/PREMERGE-AUDIT.zh-CN.md,checked boundary then local step reference,dynamic ABI packet and capacity checks remain
F08,P2,performance,source,ScriptTimers.cpp:313,same wait lookup then callback then repeated cancel,../../../script-native-lua-na1/PREMERGE-AUDIT.zh-CN.md,one local read and explicit detach outcome,do not retain moving storage pointer over callback
F09,P3,cold_cost,source,ScriptInstances.cpp:284,partial collect shifts remaining vector,../../../script-native-lua-na1/PREMERGE-AUDIT.zh-CN.md,bounded cursor with same acknowledgement order,not handler hot cost
F10,P2,measurement,source,script_runtime_benchmark.cpp:1825,idle_page_backing prints failures size,../../../script-native-lua-na1/PREMERGE-AUDIT.zh-CN.md,correct retained failure label and parser,uncollected memory not zero
F11,P3,obsolete_fixture,source,cmake/installed-consumers/script-lua-value-costs/main.cpp:60,retired LuaRecordMarshaller default branch,../../../script-native-lua-na1/PREMERGE-AUDIT.zh-CN.md,retire obsolete diagnostic branch without shim,not a regression of current 16 official consumers
