id,phase,category,case,required_outcome,required,execution_status,evidence
T01,N0,基线与分支,V4生产身份/文档身份,A生产输入匹配f7d2815b；文档head不重标测试源；新分支起点明确,MUST,NOT_RUN,
T02,N0,隔离,保护原工作区与其它分支,HEAD/本地保护ref/未知改动内容前后相同；无reset/clean/stash/force,MUST,NOT_RUN,
T03,N1,配置,重复后端kind与组合路由,一个LUA facade；重复kind/重复symbol/歧义plan冷拒绝,MUST,NOT_RUN,
T04,N1,资产,错误Lua/CppStatic制品身份,错kind/content/contract/signature拒绝；原生child不接收伪造Lua资产,MUST,NOT_RUN,
T05,N1,权限,Native imports必须为获准集合子集,未声明Ability/Event不能因组合获得；slot映射不串实例,MUST,NOT_RUN,
T06,N1,步骤,异步Lua误作同步import,准备拒绝suspension-capable步骤；不静默改用lua_resume,MUST,NOT_RUN,
T07,N1,发布,构造每个失败点回滚,Lua child/step roots/native child/leases逐点失败；不发布残缺prepared,MUST,NOT_RUN,
T08,N1,身份,一个核心实例,同一mount/instance/behavior/scope；两个backend子对象不变成第二核心实例,MUST,NOT_RUN,
T09,N1,生命周期,BeginPlay/EndPlay一次,原Lua初始化/退场业务各一次；不在createInstance私自提前begin,MUST,NOT_RUN,
T10,N1,基本调用,void/标量输入输出,真实typed调用正确；stack/context回原base；不新增task/A/C,MUST,NOT_RUN,
T11,N1,数值,bool/type/NaN/Inf/int范围,沿原策略拒绝错误；输入错provider计数0；不accept默认0,MUST,NOT_RUN,
T12,N1,输出,错误返回值与部分结果,错误输出不发布；已经发生的Lua/provider副作用不假回滚,MUST,NOT_RUN,
T13,N2,Event,真实单Event纵向链,CppStatic原生await→原Event→stable point→Lua apply；payload31和每实例oracle,MUST,NOT_RUN,
T14,N2,结构,框架Lua协程路径为零,有效observer证明task thread/create/resume/yield/root增量0；不是关闭计数的0,MUST,NOT_RUN,
T15,N2,结构,真正原生frame,实际co_await经生成/CppStaticcontract运行；无手写测试状态机冒充,MUST,NOT_RUN,
T16,N2,结构,无隐含Lua持久任务对象,无每任务closure/context table/registry任务root；nativeframe保存跨await值,MUST,NOT_RUN,
T17,N3,非法挂起,raw coroutine.yield,同步边界受控错误；主Lua栈恢复；没有核心等待或崩溃,MUST,NOT_RUN,
