id,phase,scenario,procedure,required_result,status,evidence_requirement,implementation_status,actual_evidence
A01,ER-1/ER-4,职责目录,检查生产target与安装头归属,Editor顶层职责分类；ER-1新路径合规，ER-4旧目录正式入口清空,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A02,ER-1/ER-4,Editing业务盲,独立配置/编译Editing消费者,无Scene/UI/材质/图/Renderer依赖,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/sdk-editor-editing-* and relocated-sdk-editor-editing-*; only editor_editing + compile_time imported; two business DLLs, unique library-issued HistoryId and virtual disposal; not material migration."
A03,ER-1/ER-4,通用UI独立,解析EditorWindow/actions公共头和target,无具体Session头或业务variant/switch,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A04,ER-1/ER-4,Session与UI隔离,检查Session公共头/链接关系,无Pane/Frame/GLFW/ImGui；SceneCamera不含UI输入,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A05,ER-1/ER-4,Renderer隔离,检查public头及编译接口,无Vk/ImGui泄漏；无Session/History；后端只在正确私有位置,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A06,ER-1/ER-4,真实Pane,逐个检查viewport/outliner/inspector/resources,各有具体类和局部状态，不捕获整个State绘制,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A07,ER-1/ER-4,继承白名单,检查新增类型关系,仅允许的Object/Pane/Editing/RenderRuntime等真实协议，无同义接口族,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A08,ER-1/ER-4,非示例依赖,以另一组Scene/实体顺序启动,无固定槽位命名/固定3个任务/示例库反向依赖,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-alternate.log: changed entity ordering, reused slot, extra nonvisual entity, changed lights/transforms and actual GPU pixels; installed nonvisual Scene consumer."
A09,ER-1/ER-4,source-binding真实,逐项查真实头/符号与创建输入,无想象API、未定义生产OpenInfo、void服务袋或永久fwd stub,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); configure.log and editor_er1_architecture_negative plus actual installed compile/link closure verify the new responsibility paths; source-binding.csv has23 exact source hashes. Legacy formal entries remain, so final directory/consumer deletion and full stage qualification are not claimed."
A10,ER-1/ER-4,结构检查自测,对测试样例引入一个故意越层include,检查返回非零，正式候选无此违规；不扫描历史文档误报,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); raw/ctest-details.log editor_er1_architecture_negative rejects exact prohibited dependency; configure positive responsibility and target checks.
C01,ER-1,Scene交接失败,在OpenInfo接管前各分配/校验点注入失败,调用方仍持原Scene和内容；无异步已启动、注册残留,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/ctest-details.log editor_scene_session_protocol: 12 real DLL allocation failures preserve the same Scene/input/labels/selection; successful ownership transfer; normal installed Scene consumer.
C02,ER-1,Scene交接成功,成功打开并请求首次owner更新,源unique_ptr变空且仅Session拥有；业务/metadata地址有效,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/ctest-details.log editor_scene_session_protocol: 12 real DLL allocation failures preserve the same Scene/input/labels/selection; successful ownership transfer; normal installed Scene consumer.
C03,ER-1,Scene/资源目录寿命,让外部引用在Session活跃时按批准契约释放,实际保留的metadata/代码仍有效；不能靠虚假int计数,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/sdk-editor-scene-readers-* and relocated-sdk-editor-scene-readers-*: actual plugin DLL/code lifetime, generated reader for 11 field types, typed values and drawing; regeneration/results.json."
C04,ER-1,Window构造失败,在window/UI创建阶段分别失败,已经创建的资源准确释放，无渲染器借用悬空,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/ctest-details.log: Window factory 8 actual allocation failures; raw/gpu-application-lifecycle.log: invalid Window config retains Application for explicit shutdown.
C05,ER-1,Renderer启动失败,线程创建/设备/附着失败逐项注入,仅回收自身已启动资源，线程结束；Window/UI仍合法,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,"q6 clean tracked aa91ba55 (RelWithDebInfo); diagnostic-raw/gpu-factory_failure.log: 20 owner-thread allocation failures; raw/gpu-application-lifecycle.log: renderer capacity rejection after Window creation. Distinct thread creation, device initialization and attach failure injection remains unexecuted."
C06,ER-1,RenderView未提交失败,owner构造/容量不足时失败,无孤立的已发布create request；既有view不受影响,PARTIAL,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PARTIAL,q6 clean tracked aa91ba55 (RelWithDebInfo); Real asynchronous invalid-Scene View rejection is covered by diagnostic-raw/gpu-view_failure.log. View owner allocation sweep and full View registration-capacity rejection before create-request publication remain unexecuted.
C07,ER-1,Workspace注册失败,第二或最后Pane注册失败,完整回滚已注册Pane/连接，调用方View仍拥有,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log + SceneGpuTest.cpp: final Pane id collision retains caller View and rolls registrations back; retry succeeds; closing second Workspace preserves first Workspace, Session and shared history registration."
C08,ER-1,注册BUSY,在回调内尝试注销/关闭,token和owner保留，回调返回后显式继续，不delete,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-reentrant_close.log and editor_edit_history_routing R09/R11: Window close BUSY/Workspace advance PENDING during callback Frame; history registration reset BUSY retains handle; subsequent explicit close. Pane registrations use their actual tombstone protocol, not an invented BUSY-returning API."
C09,ER-1,两个workspace同Session,打开两个视图并关闭一个,另一视图与Session/历史不受影响，相机分别独立,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-base.log verifies two Workspaces share one history and closing one preserves the other; raw/gpu-multiple_equal.log verifies independent camera/output of two same-Session Views.
C10,ER-1,禁止owner移动,编译期检查已注册owner移动/复制,拷贝/移动不可用；无默认move覆盖活动资源,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,q6 clean tracked aa91ba55 (RelWithDebInfo); SceneGpuTest.cpp static_assert copy/move construction and assignment disabled for seven Application/Window/Renderer/RenderView/Session/SceneView/Workspace owners; clean all build succeeds.
C11,ER-1,Packet移动覆盖,目标含未提交packet再move赋值,旧packet只释放引用，源一次转移，无提交/业务重放,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-image_lifetime.log: two actual image records, move overwrite retires old packet references, moves source once, restores both records on release, no queue admission or submitted-frame change."
C12,ER-1,空值/重复关闭,空lease/已静止owner重复显式关闭,不重复发送destroy，不伪造旧token有效,PASS_ER1,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_ER1,"q6 clean tracked aa91ba55 (RelWithDebInfo); raw/gpu-application-lifecycle.log: four cold/partial startup states, explicit owner shutdown, repeated close, Toolset stop/destroy exactly once; not thread/device/attach failure injection."
U01,ER-1,安全快照,让Simulation worker处于真实写窗口后请求读取,只消费已发布快照或BUSY，不直接并发读Registry,PASS_INTERMEDIATE,由实施方填写真实测试/命令/产物/日志，不是本包已运行,PASS_INTERMEDIATE,"ctest-09.log editor_scene_session_protocol: safe-point/query identity, nonvisual entities, reused Entity rejects old generation and corrects selection"
