id,role,actual_source,actual_symbols,target,ownership_and_release,implementation_binding,source_sha256,current_source_sha256
S01,LuxObject/Object/connection,modules/core/object/include/lux/engine/object/Object.hpp,Object<T>; ObjectMessageQueue; Connection::reset,object,Owner-thread identity and weak receiver; connection does not own publisher,Reuse; publisher gate and explicit close in new owners,a1a0f52180cdac4de0334e4afc0f7b28c395f9e71acf1099c9ff5c5d3536b823,a1a0f52180cdac4de0334e4afc0f7b28c395f9e71acf1099c9ff5c5d3536b823
S02,UISession/Pane,modules/function/ui/include/lux/engine/ui/UISession.hpp,registerPane(Pane&); PaneRegistration::reset; Frame::finish,ui,Non-owning weak Pane records; unregister tombstones while frame open; Window forbids owner destruction during frame,"Reuse real tombstone rule; no fictitious BUSY-returning token; q6 raw byte hash reflects clean checkout CRLF normalization; Git/source text unchanged; q8 cold factory owns font bytes/ranges/context, platform-neutral captured text anchor; original Pane lifetime rule retained.",1861c4ddd6d2fd7334338c411d1ac1ad501f2fdfacdf314475b0ed9485db48a9,406ae8ece0c8b8060cc25db4c52849712d766683e362372f2ffe15f25feb8ef8
S03,CommandRouter,modules/function/ui/include/lux/engine/ui/CommandRouter.hpp,defineCommand; bind; bindGlobal; state; invoke,ui,Owner-thread; enabled rechecked; receiver borrowed through weak identity,Reuse; fixed HistoryActions and captured window menu handle,92b93a900bfeae413e8a44bb00b3534b0b61883d5c29e5d9831149bf4fc3a0d7,92b93a900bfeae413e8a44bb00b3534b0b61883d5c29e5d9831149bf4fc3a0d7
S04,Layout,modules/function/ui/include/lux/engine/ui/Layout.hpp,SplitLayout; UISession::setSplitLayout,ui,UISession owns current sizes; Pane IDs do not own Panes,Equivalent split recipe; whitelist 1 adds validation against actual live registrations,42719ea6d410687766c866efa42fb38ffd43ca2c9015fd66d82f26b8da7502c7,42719ea6d410687766c866efa42fb38ffd43ca2c9015fd66d82f26b8da7502c7
S05,Draw snapshot,modules/function/ui/src/DrawDataSnapshot.cpp,UiDrawDataSnapshot -> UiFrameSnapshot; UISession::captureFrame,ui,Owns cloned ImDrawLists; external tokens do not own images; font token zero,Whitelist 4: move existing owning implementation to public neutral value; enumerate real texture uses,40e573d5e8409df6ab22dcf98f2e8a73197fc57e169e987742cfbac96b4b337a,40e573d5e8409df6ab22dcf98f2e8a73197fc57e169e987742cfbac96b4b337a
S06,Texture resolution,modules/function/ui/sinclude/lux/engine/ui/detail/UiVulkanBackend.hpp,UiVulkanRenderer::setTextureResolver/addTexture/removeTexture,ui_vulkan_backend,Render thread; font source borrows UISession context; descriptor owner survives GPU completion,"Reuse private backend; new renderer owns table, no installed Vulkan header",6c9a2c63c5c68407129ac754f7632cff9154d8e95c638db46ce68eb56f3aed54,6c9a2c63c5c68407129ac754f7632cff9154d8e95c638db46ce68eb56f3aed54
S07,Render runtime,engine/scene/integration/render/include/lux/engine/scene/RenderRuntime.hpp,RenderRuntime::acquire; RenderRuntimeLease,scene_render,Move-only lease calls owner release; control/program/upload/catalog remain valid through all Scene leases,Reuse in EditorRenderer; close waits Scene runtime leases,e891307e9b440f7f7a6ea88ec2e444161b47ef837635d2835ddaa31f777b6ba3,e891307e9b440f7f7a6ea88ec2e444161b47ef837635d2835ddaa31f777b6ba3
S08,View/target/frame,modules/function/render/client/include/lux/engine/function/render/client/RenderControlSession.hpp,addView; createOffscreenRenderTarget; requestResizeTarget; destroyRenderTarget; removeView,render_client,Control publications default blocking. SPSC capacity/size are public; single owner producer may preflight before each call without callbacks,Reuse preflight in renderer owner; async requests retained. Prepared frame transfer uses actual trySubmitPrepared semantics,a2e772ffde59b5d30b2e44b2043673338b1c728e5bfe58e653afbe4caa974e51,ab964bac236d87476d0177e6ed9ff9b0e75ff3ff5218e8e2c9836eb433e957e5
S09,GPU completion,modules/function/render/vulkan/sinclude/lux/engine/render/renderer/FrameDriver.hpp,gpuCompletedSerial; lastSubmittedSerial; OffscreenImagePool::collectRetired,render_vulkan,"Fence proof, not serial arithmetic. Last CPU reference and GPU watermark are separate gates",Reuse protected GeneralRenderServer::gpuCompletedSerial; local drain before resizing storage,f43ac2cfa7e8f7740afd8c2a833ff5ba36102429afd6a170f961d3cee0b28734,f43ac2cfa7e8f7740afd8c2a833ff5ba36102429afd6a170f961d3cee0b28734
S10,Scene owner window,engine/domain/simulation/composition/include/lux/engine/simulation/Simulation.hpp,"Simulation::execute(TaskExecutor&,SimulationDuration); Scene::executeStablePoint/executePresentation",simulation_composition; scene_composition,Simulation execution is synchronous with worker completion. Session exclusively owns Scene and executor; no external drive accepted,App cycle deduplicates phases; safe query window closes before execution; no extra Script Hook,d0f2c52d9c6612f572064cf4104b94766799372e2b2793ca41e0c435ceef5082,d0f2c52d9c6612f572064cf4104b94766799372e2b2793ca41e0c435ceef5082
