type,state,writes,invalidation,release,validation_limit
EditorApplication,explicit Window/Renderer/Session/Workspace owners and process/asset endpoints,owner-thread start/run/advanceShutdown,requestClose / partial start,retains each unique owner until explicit close COMPLETE,Toolset migration and full startup matrix pending
EditorWindow,native window + UISession + registrations + frame/input state,owner-thread collectInput/beginFrame/drawPanes/finishFrame,frame gate and closeAfterRendererStopped,Pane scopes first; native window after renderer,Window actual DLL factory sweep 8 points; partial native failures pending
SceneSession,sole owned Scene + history + authoritative selection + safe-point snapshots,safe-point advance/update and typed select/retry,Session/Entity/source/revision keys; owner gate,waits view borrows and ResourceTasks actual completion,12 actual DLL factory points; reentry matrix partial
SceneResources/ResourceTasks,typed resource requests + real TaskScope and asset/upload ownership,safe-point admission/retry and owned completion mailbox,Session/Entity generation/source/request sequence,actual attachment consumption receipt plus backend reference/FIF retirement,late result variants passed; parallel siblings/saturation partial
SceneView,local camera/revision + unique RenderView + Session borrow,moveCamera/resetCamera/frameSelection/requestExtent,closing/busy/owner-thread and render error identity,RenderView COMPLETE then detach Session borrow,two-View validation currently FAILED
SceneWorkspace,concrete Panes + SceneView + registrations/connections/layout + fixed HistoryActions,activate/updateBeforeFrame/afterDraw/advanceClose,Window frame gate and explicit closing,unregisters Panes then closes View; leaves Session open,final registration collision and partial close tested
SceneViewport,capture/speed/last drawn region + frame image refs + owning action failure,real Pane draw / consumeInput,hidden/undrawn/focus/modal/ESC/released button cancels capture,frame image release; no scene jobs or renderer pump,extent failure retention GPU test passed; full capture/IME still partial
SceneOutliner,filter/expansion/indexed row cache,draw computes view-only hierarchy,new owning query snapshot,local cache release; Session owns selection,cycle policy implemented; full interaction matrix pending
SceneInspector,reader descriptors and local display state,installReaders prepares complete replacement; draw uses Session typed reads,Session selection and schema/type/version checks,owns plugin code tokens as long as readers are used,installed actual DLL/11 fields passed
SceneResourcesPane,local display/filter/retry failure,retry delegates typed key to SceneSession,resource snapshot/version,no task ownership,retry actual pak recovery tested
EditorRenderer,worker/control/program/upload/frames/views/diagnostics,owner admission/poll; worker owns Vulkan use,renderer incarnation + view IDs + full request/packet identity,actual GPU completion; backend terminal cleanup then explicit join,F06 abort; F15 multi-View; reply budget incomplete
ViewResources/ImageVersion/ViewImageLease::Record,"target/view handles, immutable captured camera, CPU refs and submission/completion identity",ViewResources control lifecycle; worker records/submits,request/ack extent generation and physical backing revision,CPU refs drained AND real completed watermark permits retirement,no shared_ptr-only lifetime proof; deterministic GPU-held matrix pending
EditorFramePacket,owning UiFrameSnapshot plus ViewImage leases and prepared RenderProgram,seal prepares; trySubmit consumes only on accepted admission,renderer identity and complete token validation,destructor releases references only; no UI replay or renderer pump,F06 actual allocation abort blocks complete prepare guarantee
ActiveEditHistory/HistoryActions,weak registration tokens; fixed target or captured menu handle,real CommandRouter scoped state/invoke,router incarnation + registration sequence + HistoryId,BUSY/WRONG_THREAD tokens retained; late weak token safe,real Text/Record/InputText/DIRECT/QUEUED tests passed
