id,phase,group,setup,action,expected,evidence
C01,ED-1,Core creation,正数上限；initially_saved=false,创建history,ID非零；serial=1；revision/event=0；entry/cursor=0；clean=false；无notice,初始完整snapshot
C02,ED-1,Core creation,同进程从不同调用组件创建两history,比较身份；关闭后新建,全部HistoryId不同；新建不复用旧ID,含installed consumer跨DLL结果
C03,ED-1,Core creation,分别将4个limit置0；槽位计算接近SIZE_MAX,调用create,INVALID_LIMITS或受控overflow；无部分对象泄漏,各无效输入独立退出与资源计数
C04,ED-1,Core creation,实际factory分配点故障注入,create失败再正常创建,ALLOCATION_FAILURE；释放已取得存储；后续成功,准确注入点和构造析构数
C05,ED-1,Threads,history owner静止；独立线程借只读稳定对象,异线程view/entry/execute/undo/redo/clear/save/close,WRONG_THREAD；不得调用operation虚函数；输入指针保留,join后owner比对全snapshot和业务数
C06,ED-1,Admission,空operation指针,execute,INVALID_ARGUMENT；无状态变化或notice,state/entries/输入对比
C07,ED-1,Admission,A构造的operation交给B,execute,WRONG_HISTORY；A/B模型和历史不变,两份历史、模型和指针计数
C08,ED-1,Admission,操作捕获S1；history已到S2,execute旧操作,STALE_BASE；输入可丢弃；不消耗redo,state与原operation数据
C09,ED-1,Admission,标签空/过长/含NUL；单条payload超限,分别execute,按规范拒绝；不静默截标签或退化成不可撤销,metadata虚调用和目标业务计数
C10,ED-1,Basic history,文本从alpha开始,替换一次；undo；redo,内容准确；cursor 1/0/1；初次新state；redo复用state；revision 1/2/3,独立期望字符串与完整snapshot
C11,ED-1,Basic history,记录模型有选中A,删除A；undo；redo,逻辑记录存在性和选择始终一致；准备成功后再发布,两个独立观察者的内容/选择/历史读数
C12,ED-1,Basic history,空history和已处于历史末端,undo/redo,NO_UNDO/NO_REDO；无业务调用、无notice,counter=0
C13,ED-1,Basic history,先修改A再修改B,逐次undo/redo,每次命中正确业务目标和direction；确定前后内容,操作顺序trace
C14,ED-1,Branches,A/B/C已执行；undo两步,提交D,只在成功后丢B/C redo；保留A/D；新StateId不复用,析构顺序与entries before/after
C15,ED-1,Branches,存在redo分支,新操作prepare失败,redo内容/游标/保存点全保留；operation仍归调用方,失败前后完整snapshot与内容
C16,ED-1,Branches,存在redo分支,合法NO_CHANGE操作,指针清空并安全析构；entry/cursor/state/revision/event/redo不变；不publish,no-op plan/apply/publish计数
C17,ED-1,Branches,目标不存在但新旧值字面相同,execute,验证失败不是NO_CHANGE成功,target validation计数
C18,ED-1,Branches,已接受条目；业务错误返回NO_CHANGE,undo/redo,CONTRACT_VIOLATION；游标不动；不自动删除记录,故障plan trace
C19,ED-1,State identities,S1→S2→S3→undo到S2→新分支,继续多次分支,新serial单调不复用；revision每次内容变化递增,state序列
C20,ED-1,Ownership,新operation含可观测资源,execute成功CHANGE,调用方ptr=null；history释放时才析构；undo不析构条目,独占生命周期计数
