id,old_symbol_or_role,decision,source_anchor,target_directory,replacement,phase,preserve,deletion_gate,acceptance_ids,actual_consumer_mapping,implementation_status,actual_evidence
M01,SceneWorkbench / SceneWorkbench::Impl,REPLACE,SceneWorkbench.hpp,application + sessions/scene + ui/scene,EditorApplication / SceneSession / SceneView / SceneWorkspace,ER-1,Mesh/Light真实输出、相机、资源重试、resize、最小化与关闭,无共享大State绘制lambda；业务库不创建示例实体,A06;A08;U01;X06,Application.cpp -> SceneSession/SceneView/SceneWorkspace; legacy editor_application/editor_scene remain until deletion gate,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M02,WorkbenchPane,DELETE,SceneWorkbench.cpp,ui/scene,SceneViewport / SceneOutliner / SceneResourcesPane,ER-1,面板显隐、焦点、输入、标识,不保留std::function<draw>完整面板壳,A06;U09;U11,SceneViewport/SceneOutliner/SceneInspector/SceneResourcesPane in editor_scene_ui; old WorkbenchPane still only legacy stack,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M03,UiVulkanPresentation,REPLACE,UiVulkanPresentation.hpp,rendering + ui/shell,EditorRenderer / EditorWindow,ER-1,同一设备、帧队列、GPU完成和descriptor寿命,旧类与普通应用的Vulkan包含关系均退出,F01;F02;F11;X06,EditorWindow in editor_ui; EditorRenderer in editor_rendering; legacy UiVulkanPresentation not called by Application.cpp,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M04,SceneViewRenderPort,DELETE,SceneViewRenderPort.hpp,sessions/scene + rendering,SceneView / RenderView,ER-1,view创建、相机、resize和关闭,无等价新Port/Bridge；Pane不pump渲染器,A05;F07;F11,SceneView -> RenderView; old SceneViewRenderPort retained for legacy SceneWorkbench only,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M05,EditorPresentationConfig,SPLIT,EditorApplication.hpp,ui/shell + rendering,WindowSpec / RendererConfig,ER-1,窗口尺寸、标题、容量、validation原语义,窗口配置不再混入渲染队列协议,A05;C04;C05,WindowSpec + RendererConfig; EditorApplicationCreateInfo explicitly owns composition inputs,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M06,EditorContext / EditorContextCreateInfo,DELETE_AFTER_CONSUMERS,EditorContext.hpp,application / sessions / ui,各构造点的有限依赖,ER-1-ER-3,Toolset、资源和任务能力仍由正确owner提供,最后一个consumer迁移后删除，无万能EditorServices替代,A03;A09;R02,new Application/SceneWorkspace/SceneSession have explicit owners; context/inspector/graph legacy consumers remain for ER-2/3,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M07,EditorSelection scene resolver,REPLACE,EditorSelection.hpp,sessions/scene + ui/actions,SceneSelection + SessionId + window action scope,ER-1-ER-2,旧Scene代次失效与选择更新,资源接纳不经selection.resolve,U07;U08;R02;R04,SceneSession selection + owning notices; SceneResources admission uses Session/Entity/source request keys,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M08,InspectorUndoJournal,DELETE_AFTER_CONSUMERS,InspectorUndoJournal.hpp,sessions/scene operations,既有EditHistory + typed Scene operations,ER-2,拖动分组、取消、undo/redo、值校验,不存在新栈调用旧undo的双轨,E05;E08;E12,Existing consumers retained unchanged for ER-2,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M09,InspectorContext / mutable Registry draw,REPLACE,InspectorContext.hpp,ui/properties + ui/scene,只读显示值 + 具体Session编辑入口,ER-2,已支持字段和只读字段显示,绘制接口不向外给Registry&,U06;E03;E12,Existing consumers retained unchanged for ER-2,DEFERRED_STAGE,ER-2/ER-3 unchanged and not authorized this run; retained capability and original regression coverage. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
M10,EntityInspector,REBUILD_UI,EntityInspector.hpp,ui/scene,SceneInspector,ER-1-ER-2,字段生成、无选择/失效选择、只读观察,初次只读后按业务迁移写功能，不静默回退,U05;U06;U09,SceneInspector + ComponentReadBinding + generated readers; old EntityInspector remains for ER-2 editing consumers,PARTIAL_DELETE_GATE_PENDING,q6 clean tracked aa91ba55 (RelWithDebInfo); acceptance-results.csv; qualification.json; diagnostic-qualification.json; COST-q6.zh-CN.md. Existing legacy deletion gates remain explicit; no final ER-1 completion claimed. | q7 2d2650c5 normal/diagnostic and relocated consumers rerun; unchanged deletion gates. No legacy-entry deletion authorized by a passing prerequisite set. | q8 e6252e50 normal/diagnostic + relocated consumers; EX04/05 and R01/R09 narrow work retained. Original deletion gates remain unmet; no legacy entry removed.
