"id","group","status","setup","action","expected","implementation","evidence","qualified_source"
"C01","Core creation","PASS","正数上限；initially_saved=false","创建history","ID非零；serial=1；revision/event=0；entry/cursor=0；clean=false；无notice","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C02","Core creation","PASS","同进程从不同调用组件创建两history","比较身份；关闭后新建","全部HistoryId不同；新建不复用旧ID","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log; qualified/core-b-run.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C03","Core creation","PASS","分别将4个limit置0；槽位计算接近SIZE_MAX","调用create","INVALID_LIMITS或受控overflow；无部分对象泄漏","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C04","Core creation","PASS","实际factory分配点故障注入","create失败再正常创建","ALLOCATION_FAILURE；释放已取得存储；后续成功","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C05","Threads","PASS","history owner静止；独立线程借只读稳定对象","异线程view/entry/execute/undo/redo/clear/save/close","WRONG_THREAD；不得调用operation虚函数；输入指针保留","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C06","Admission","PASS","空operation指针","execute","INVALID_ARGUMENT；无状态变化或notice","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C07","Admission","PASS","A构造的operation交给B","execute","WRONG_HISTORY；A/B模型和历史不变","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C08","Admission","PASS","操作捕获S1；history已到S2","execute旧操作","STALE_BASE；输入可丢弃；不消耗redo","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C09","Admission","PASS","标签空/过长/含NUL；单条payload超限","分别execute","按规范拒绝；不静默截标签或退化成不可撤销","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C10","Basic history","PASS","文本从alpha开始","替换一次；undo；redo","内容准确；cursor 1/0/1；初次新state；redo复用state；revision 1/2/3","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C11","Basic history","PASS","记录模型有选中A","删除A；undo；redo","逻辑记录存在性和选择始终一致；准备成功后再发布","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C12","Basic history","PASS","空history和已处于历史末端","undo/redo","NO_UNDO/NO_REDO；无业务调用、无notice","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C13","Basic history","PASS","先修改A再修改B","逐次undo/redo","每次命中正确业务目标和direction；确定前后内容","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C14","Branches","PASS","A/B/C已执行；undo两步","提交D","只在成功后丢B/C redo；保留A/D；新StateId不复用","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C15","Branches","PASS","存在redo分支","新操作prepare失败","redo内容/游标/保存点全保留；operation仍归调用方","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C16","Branches","PASS","存在redo分支","合法NO_CHANGE操作","指针清空并安全析构；entry/cursor/state/revision/event/redo不变；不publish","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C17","Branches","PASS","目标不存在但新旧值字面相同","execute","验证失败不是NO_CHANGE成功","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C18","Branches","PASS","已接受条目；业务错误返回NO_CHANGE","undo/redo","CONTRACT_VIOLATION；游标不动；不自动删除记录","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C19","State identities","PASS","S1→S2→S3→undo到S2→新分支","继续多次分支","新serial单调不复用；revision每次内容变化递增","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C20","Ownership","PASS","新operation含可观测资源","execute成功CHANGE","调用方ptr=null；history释放时才析构；undo不析构条目","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C21","Ownership","PASS","prepare可重试失败","失败后修正外部受控条件并重试同一ptr","失败操作及memento未变；成功才转移","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C22","Ownership","PASS","无实际变化但持恢复资源","execute NO_CHANGE","RECLAIMING释放恰好一次；析构重入得到BUSY","engine/editor/editing/test/CoreCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"C23","Ownership","PASS","移交过的业务operation来自consumer模块","核心close释放","动态派生析构和所属恢复资源释放一次","cmake/installed-consumers/editor-editing/main.cpp","qualified/core-a-run.log; qualified/core-b-run.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F01","Prepare failure","PASS","文本range超过当前内容或整数相加溢出","execute","PRECONDITION_FAILED或INVALID_ARGUMENT；无live变更","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F02","Prepare failure","PASS","记录删除准备的第1/第2资源分配失败","分别执行","所有未提交暂存逆序释放；model/selection/history不变","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F03","Prepare failure","PASS","核心标题复制分配失败","execute","ALLOCATION_FAILURE；输入保留；redo不丢","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F04","Prepare failure","PASS","业务budget不足","reserve后不分配","STAGING_LIMIT；reserve失败used不增加","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F05","Prepare failure","PASS","budget exact/0/溢出请求","按顺序reserve","边界正确；无回绕；单调保守计费","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F06","Prepare failure","PASS","业务prepare错误返回空plan","execute","CONTRACT_VIOLATION；操作保留；无提交","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
"F07","Prepare failure","PASS","Undo恢复暂存失败","undo后解除注入重试","首次所有内容/历史不变；重试准确恢复","engine/editor/editing/test/FailureCases.hpp","qualified/diagnostic-tests.log","95ef0b48a29fc3513b8ab95e9b91eb140853dcf5"
