check_id,stage,site,predicate,classification,planned_action,required_proof,invalidated_by,must_keep,sources,test_ids,actual_before_file_lines,actual_proof_file_lines,actual_after_file_lines,old_rejection_owner,assembly_evidence,runtime_evidence,status
H1-N01,H1,NativeScriptBackend::createNativeContinuation,step.frame_size非零且不超过固定上限,P,MOVE_COLD_OR_REUSE_COLD,loader/prepareMethod + published fixed step,prepared发布/模块lease终止,当前frame容量与OOM,S02,T01;T02;T03,f7d2815b:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:470,7c565a00:modules/function/script/native/src/NativeModule.cpp:125,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:470,loadNativeModule INVALID_MODULE；prepareMethod 固定 max envelope；运行 frame/acquire 失败原样回滚,machine-A-full/index.json; machine-B2-full/index.json,native-cold/runs.json; native-boundary/runs.json,REUSED_COLD
H1-N02,H1,NativeScriptBackend::createNativeContinuation,step.frame_align非零且为2幂,P,MOVE_COLD_OR_REUSE_COLD,已准备frame layout覆盖所有合法入口,layout/descriptor失效,当前frame lease有效性,S02;S08,T01;T03,f7d2815b:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:470,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:895,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:470,loader 拒绝零/非2幂；prepareMethod 拒绝配置 alignment 上界,machine-A-full/index.json; machine-B2-full/index.json,native-cold/runs.json; final2-d-LastTest.log,REUSED_COLD
H1-N03,H1,Native invoke/create/resume/destroy,连续内部helper重复追踪function->step非空,D/L,RESOLVE_ONCE,checked入口建立当前call + step借用,用户代码/退休/释放/复用,边界失效检查,S02,T02;T04;T05,f7d2815b:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:516,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:582,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:515,checked PreparedCall 链仍逐调用检查；局部 immutable step 不代表 ACTIVE,machine-A-full/index.json; machine-B2-full/index.json,contract-comparison-final/result.json; native-boundary/runs.json,RESOLVED_LOCAL
H1-N04,H1,Native startEventWait,本次ordinal范围/context/输出地址,B/L,KEEP_BOUNDARY,本次ABI调用而非生成器身份,每次新调用,全部边界拒绝,S02,T06,f7d2815b:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:435,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:442,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:435,原 startEventWait -1；未取消上下文/ordinal/output 检查,machine-A-full/index.json; machine-B2-full/index.json,native-boundary/runs.json,KEPT_BOUNDARY
H1-N05,H1,Native resume/stepResult,"实际结果type,size和step状态/token",B/R,KEEP_DYNAMIC,本次packet/outcome,每次完成或返回,实际状态匹配与失败归属,S02,T07;T08,f7d2815b:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:516,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:455,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:515,原 packet mismatch -1；非法 outcome -1；真实 failed status 保留,machine-A-full/index.json; machine-B2-full/index.json,native-boundary/runs.json,KEPT_DYNAMIC
H1-N06,H1,Native frame allocation,free_continuations/当前容量/generation耗尽,R,KEEP_DYNAMIC,原接纳时点,每次分配/归还,配额/回滚,S02;S08,T03;T10,f7d2815b:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:472,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:481,7c565a00:engine/domain/simulation/scripting/native/src/NativeScriptBackend.cpp:476,原 create 失败；slot 恢复；frame generation/lease 由 storage 管理,machine-A-full/index.json; machine-B2-full/index.json,final2-d-LastTest.log; native-boundary/runs.json,KEPT_DYNAMIC
H2-E01,H2,ScriptExecution::reserveAwaitable (prepared Event),P:非零size/二幂alignment/owned/max bound已冷证；U:完整ABI shape/type与size整除的冷证明缺失，候选仍在原wait时点检查；最终整项撤回,P/U,PREPARED_LOCAL_ENTRY,prepareMount/eventMatches覆盖字段 + eventSource当前对应,事件布局/配置生命周期变化,本次来源、当前A容量与存储失败,S03;S04;S05,T01;T09;T10,f7d2815b:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:176,7c565a00:engine/domain/simulation/builtin/script/src/ScriptPreparer.cpp:157,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:176,65585540 仅复用已证实字段，STRUCT_REF identity/modulo 仍热检；7c565a0 恢复完整旧 gateway,machine-A-full/index.json; machine-B2-full/index.json; withdrawn65585540=machine-B-full/index.json,contract-comparison-final/result.json; h2-withdrawal-costs/summary.json,WITHDRAWN_COST
H2-E02,H2,ScriptInstances::eventSource,scope/instance/layout epoch/ordinal,B/L,KEEP_BOUNDARY,实际handle匹配当前mount,每次调用/重装配,跨域、旧来源、失效实例拒绝,S05,T09,f7d2815b:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptInstances.hpp:212,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptInstances.hpp:212,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptInstances.hpp:212,scope/instance/layout_epoch/local_slot/target entity 仍由本次来源解析拒绝,machine-A-full/index.json; machine-B2-full/index.json; withdrawn65585540=machine-B-full/index.json,final2-d-LastTest.log:testPreparedAdmissionProvenance,KEPT_BOUNDARY
H2-E03,H2,ScriptExecution private helper chain,record已定位后再次ID解析,D,REUSE_RESOLVED,无用户代码和容器失效的明确区间,copy/allocator/backend/erase移动,跨边界重新解析,S04,T11;T12;T13,f7d2815b:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:436,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:508,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:436,短借用回滚候选随 H2 整体撤回；原 discardAwaitable 查找保留,machine-A-full/index.json; machine-B2-full/index.json; withdrawn65585540=machine-B-full/index.json,h2-withdrawal/withdrawal.diff; contract-comparison-final/result.json,WITHDRAWN_COST
H2-E04,H2,Event copy/complete,copy前后current、pins和terminal,L/R,KEEP_DYNAMIC,原事件完成提交规则,copy回调重入,第二次权限读取/pin退出,S04;S11,T11;T12,f7d2815b:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:528,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:528,7c565a00:engine/domain/simulation/builtin/script/pinclude/lux/engine/simulation/script/ScriptExecution.hpp:528,copy 前后权限、pin、terminal 不改；迟到/重复完成仍受拒绝,machine-A-full/index.json; machine-B2-full/index.json; withdrawn65585540=machine-B-full/index.json,final2-d-LastTest.log:testCopyRetirementPin/testCopyNestedAdmission,KEPT_DYNAMIC
